structure_id,reasons
1,q_filter_q-97.5
96,q_filter_q-97.5
294,q_filter_q-97.5
311,q_filter_q-97.5
315,q_filter_q-97.5
327,q_filter_q-97.5
333,q_filter_q-97.5
339,q_filter_q-97.5
350,q_filter_q-97.5
356,q_filter_q-97.5
357,q_filter_q-97.5
362,q_filter_q-97.5
364,q_filter_q-97.5
369,q_filter_q-97.5
383,q_filter_q-97.5
385,q_filter_q-97.5
386,q_filter_q-97.5
396,q_filter_q-97.5
400,q_filter_q-97.5
418,q_filter_q-97.5
428,q_filter_q-97.5
429,q_filter_q-97.5
430,q_filter_q-97.5
431,q_filter_q-97.5
432,q_filter_q-97.5
433,global_bad;q_filter_q-97.5
435,q_filter_q-97.5
446,q_filter_q-97.5
452,q_filter_q-97.5
453,q_filter_q-97.5
457,q_filter_q-97.5
462,q_filter_q-97.5
465,q_filter_q-97.5
468,q_filter_q-97.5
470,q_filter_q-97.5
472,q_filter_q-97.5
752,q_filter_q-97.5
800,q_filter_q-97.5
807,q_filter_q-97.5
893,q_filter_q-97.5
1121,q_filter_q-97.5
1148,q_filter_q-97.5
1157,q_filter_q-97.5
1159,q_filter_q-97.5
1162,q_filter_q-97.5
1168,q_filter_q-97.5
1178,q_filter_q-97.5
1192,q_filter_q-97.5
1198,q_filter_q-97.5
1209,q_filter_q-97.5
1261,q_filter_q-97.5
1293,q_filter_q-97.5
1296,q_filter_q-97.5
1302,q_filter_q-97.5
1305,q_filter_q-97.5
1313,q_filter_q-97.5
1317,q_filter_q-97.5
1327,q_filter_q-97.5
1336,q_filter_q-97.5
1342,q_filter_q-97.5
1343,q_filter_q-97.5
1346,q_filter_q-97.5
1352,q_filter_q-97.5
1357,q_filter_q-97.5
1372,q_filter_q-97.5
1377,q_filter_q-97.5
1385,q_filter_q-97.5
1392,q_filter_q-97.5
1397,q_filter_q-97.5
1399,q_filter_q-97.5
1405,q_filter_q-97.5
1407,q_filter_q-97.5
1418,q_filter_q-97.5
1419,q_filter_q-97.5
1435,q_filter_q-97.5
1437,q_filter_q-97.5
1439,q_filter_q-97.5
1444,q_filter_q-97.5
1463,q_filter_q-97.5
1473,q_filter_q-97.5
1478,csv_train_gt20
1581,q_filter_q-97.5
1583,q_filter_q-97.5
1586,q_filter_q-97.5
1591,q_filter_q-97.5
1594,q_filter_q-97.5
1598,q_filter_q-97.5
1610,q_filter_q-97.5
1615,q_filter_q-97.5
1630,q_filter_q-97.5
1638,q_filter_q-97.5
1643,q_filter_q-97.5
1657,q_filter_q-97.5
1658,q_filter_q-97.5
1668,q_filter_q-97.5
1669,q_filter_q-97.5
1672,q_filter_q-97.5
1673,q_filter_q-97.5
1695,q_filter_q-97.5
1705,q_filter_q-97.5
1711,q_filter_q-97.5
1740,q_filter_q-97.5
1756,q_filter_q-97.5
1781,q_filter_q-97.5
1785,q_filter_q-97.5
1795,q_filter_q-97.5
1800,q_filter_q-97.5
1804,q_filter_q-97.5
1816,q_filter_q-97.5
1827,q_filter_q-97.5
1832,q_filter_q-97.5
1845,q_filter_q-97.5
1847,q_filter_q-97.5
1848,q_filter_q-97.5
1852,q_filter_q-97.5
1855,q_filter_q-97.5
1866,q_filter_q-97.5
1867,q_filter_q-97.5
1877,q_filter_q-97.5
1896,q_filter_q-97.5
1899,q_filter_q-97.5
1901,q_filter_q-97.5
1909,q_filter_q-97.5
1910,q_filter_q-97.5
1918,q_filter_q-97.5
1919,q_filter_q-97.5
1922,q_filter_q-97.5
1923,q_filter_q-97.5
1926,q_filter_q-97.5
1930,q_filter_q-97.5
1945,q_filter_q-97.5
1947,q_filter_q-97.5
2108,q_filter_q-97.5
2231,q_filter_q-97.5
2251,q_filter_q-97.5
2281,q_filter_q-97.5
2297,q_filter_q-97.5
2298,q_filter_q-97.5
2300,q_filter_q-97.5
2400,q_filter_q-97.5
2413,q_filter_q-97.5
2417,q_filter_q-97.5
2432,q_filter_q-97.5
2440,q_filter_q-97.5
2451,q_filter_q-97.5
2463,q_filter_q-97.5
2466,q_filter_q-97.5
2468,q_filter_q-97.5
2469,q_filter_q-97.5
2474,q_filter_q-97.5
2477,q_filter_q-97.5
2480,q_filter_q-97.5
2481,q_filter_q-97.5
2486,q_filter_q-97.5
2491,q_filter_q-97.5
2493,q_filter_q-97.5
2730,q_filter_q-97.5
2770,q_filter_q-97.5
2782,q_filter_q-97.5
2786,q_filter_q-97.5
2789,q_filter_q-97.5
2793,q_filter_q-97.5
2809,q_filter_q-97.5
2851,q_filter_q-97.5
2853,q_filter_q-97.5
3066,q_filter_q-97.5
3125,q_filter_q-97.5
3126,q_filter_q-97.5
3130,q_filter_q-97.5
3193,q_filter_q-97.5
3194,q_filter_q-97.5
3230,q_filter_q-97.5
3243,q_filter_q-97.5
3286,q_filter_q-97.5
3337,q_filter_q-97.5
3339,q_filter_q-97.5
3356,q_filter_q-97.5
3433,q_filter_q-97.5
3495,q_filter_q-97.5
3498,q_filter_q-97.5
3499,q_filter_q-97.5
3502,q_filter_q-97.5
3533,q_filter_q-97.5
3694,q_filter_q-97.5
3857,q_filter_q-97.5
3886,q_filter_q-97.5
3914,q_filter_q-97.5
4010,q_filter_q-97.5
4054,q_filter_q-97.5
4089,q_filter_q-97.5
4101,q_filter_q-97.5
4194,q_filter_q-97.5
4196,q_filter_q-97.5
4200,q_filter_q-97.5
4207,q_filter_q-97.5
4254,q_filter_q-97.5
4262,q_filter_q-97.5
4264,q_filter_q-97.5
4279,q_filter_q-97.5
4287,q_filter_q-97.5
4337,q_filter_q-97.5
4363,q_filter_q-97.5
4382,q_filter_q-97.5
4410,q_filter_q-97.5
4422,q_filter_q-97.5
4441,q_filter_q-97.5
4502,q_filter_q-97.5
4503,q_filter_q-97.5
4520,q_filter_q-97.5
4529,q_filter_q-97.5
4542,q_filter_q-97.5
4582,q_filter_q-97.5
4597,q_filter_q-97.5
4604,q_filter_q-97.5
4606,q_filter_q-97.5
4614,q_filter_q-97.5
4618,q_filter_q-97.5
4623,q_filter_q-97.5
4627,q_filter_q-97.5
4633,q_filter_q-97.5
4644,q_filter_q-97.5
4649,q_filter_q-97.5
4654,q_filter_q-97.5
4675,q_filter_q-97.5
4682,q_filter_q-97.5
4685,q_filter_q-97.5
4688,q_filter_q-97.5
4690,q_filter_q-97.5
4691,q_filter_q-97.5
4695,q_filter_q-97.5
4700,q_filter_q-97.5
4705,q_filter_q-97.5
4708,q_filter_q-97.5
4717,q_filter_q-97.5
4730,q_filter_q-97.5
4735,q_filter_q-97.5
4749,q_filter_q-97.5
4753,q_filter_q-97.5
4754,q_filter_q-97.5
4757,q_filter_q-97.5
4761,q_filter_q-97.5
4763,q_filter_q-97.5
4774,q_filter_q-97.5
4787,q_filter_q-97.5
4788,q_filter_q-97.5
4789,q_filter_q-97.5
4790,q_filter_q-97.5
4791,q_filter_q-97.5
4819,q_filter_q-97.5
4824,q_filter_q-97.5
4839,q_filter_q-97.5
4848,q_filter_q-97.5
4862,q_filter_q-97.5
4868,q_filter_q-97.5
4873,q_filter_q-97.5
4876,q_filter_q-97.5
4881,q_filter_q-97.5
4887,q_filter_q-97.5
4898,q_filter_q-97.5
4908,q_filter_q-97.5
4919,q_filter_q-97.5
4935,q_filter_q-97.5
4941,q_filter_q-97.5
4945,q_filter_q-97.5
4946,q_filter_q-97.5
4956,q_filter_q-97.5
4958,q_filter_q-97.5
4960,q_filter_q-97.5
4962,q_filter_q-97.5
4970,q_filter_q-97.5
5061,q_filter_q-97.5
5062,q_filter_q-97.5
5065,q_filter_q-97.5
5141,q_filter_q-97.5
5219,q_filter_q-97.5
5469,q_filter_q-97.5
5489,q_filter_q-97.5
5526,q_filter_q-97.5
5531,q_filter_q-97.5
5537,q_filter_q-97.5
5543,q_filter_q-97.5
5544,q_filter_q-97.5
5548,q_filter_q-97.5
5561,q_filter_q-97.5
5562,q_filter_q-97.5
5565,q_filter_q-97.5
5575,q_filter_q-97.5
5580,q_filter_q-97.5
5585,q_filter_q-97.5
5593,q_filter_q-97.5
5595,q_filter_q-97.5
5597,q_filter_q-97.5
5601,q_filter_q-97.5
5607,q_filter_q-97.5
5611,q_filter_q-97.5
5612,q_filter_q-97.5
5613,q_filter_q-97.5
5617,q_filter_q-97.5
5619,q_filter_q-97.5
5623,q_filter_q-97.5
5628,q_filter_q-97.5
5638,q_filter_q-97.5
5641,q_filter_q-97.5
5643,q_filter_q-97.5
5650,q_filter_q-97.5
5661,q_filter_q-97.5
5669,q_filter_q-97.5
5671,q_filter_q-97.5
5674,q_filter_q-97.5
5675,q_filter_q-97.5
5678,q_filter_q-97.5
5679,q_filter_q-97.5
5683,q_filter_q-97.5
5687,q_filter_q-97.5
5694,q_filter_q-97.5
5695,q_filter_q-97.5
5700,q_filter_q-97.5
5701,q_filter_q-97.5
5703,q_filter_q-97.5
5706,q_filter_q-97.5
5707,csv_train_gt20
5719,q_filter_q-97.5
5721,q_filter_q-97.5
5724,q_filter_q-97.5
5731,q_filter_q-97.5
5735,q_filter_q-97.5
5738,q_filter_q-97.5
5739,q_filter_q-97.5
5742,q_filter_q-97.5
5744,q_filter_q-97.5
5745,q_filter_q-97.5
5749,q_filter_q-97.5
5750,q_filter_q-97.5
5754,q_filter_q-97.5
5758,q_filter_q-97.5
5763,q_filter_q-97.5
5769,q_filter_q-97.5
5774,q_filter_q-97.5
5779,q_filter_q-97.5
5786,q_filter_q-97.5
5787,q_filter_q-97.5
5791,q_filter_q-97.5
5792,q_filter_q-97.5
5799,q_filter_q-97.5
5803,q_filter_q-97.5
5822,q_filter_q-97.5
5849,q_filter_q-97.5
5856,q_filter_q-97.5
5889,q_filter_q-97.5
5893,q_filter_q-97.5
5900,q_filter_q-97.5
6041,q_filter_q-97.5
6043,q_filter_q-97.5
6058,q_filter_q-97.5
6069,q_filter_q-97.5
6105,q_filter_q-97.5
6118,q_filter_q-97.5
6134,q_filter_q-97.5
6135,q_filter_q-97.5
6144,q_filter_q-97.5
6163,q_filter_q-97.5
6171,q_filter_q-97.5
6172,q_filter_q-97.5
6178,q_filter_q-97.5
6180,q_filter_q-97.5
6182,q_filter_q-97.5
6183,q_filter_q-97.5
6235,q_filter_q-97.5
6283,q_filter_q-97.5
6290,q_filter_q-97.5
6296,q_filter_q-97.5
6298,q_filter_q-97.5
6318,q_filter_q-97.5
6319,q_filter_q-97.5
6352,q_filter_q-97.5
6377,q_filter_q-97.5
6414,q_filter_q-97.5
